vaccine_application_date,dose_vaccine,n_cases
1899-12-30,1a dose,1
1899-12-30,1o reforco,1
8/21/1900,1a dose,1
12/27/1900,1a dose,1
4/10/1921,1a dose,1
4/21/1921,1a dose,1
6/2/1923,1a dose,1
6/3/1932,1o reforco,1
1/25/1937,2a dose ou unica,1
1/5/1938,2a dose ou unica,1
5/18/1938,1a dose,1
12/27/1938,2a dose ou unica,1
7/1/1939,2a dose ou unica,1
4/16/1948,1o reforco,1
12/8/1950,1a dose,1
6/20/1952,2a dose ou unica,1
5/23/1954,1a dose,1
5/31/1955,2a dose ou unica,1
7/24/1955,2a dose ou unica,1
6/10/1956,2a dose ou unica,1
4/6/1957,2a dose ou unica,1
7/23/1957,2a dose ou unica,1
10/2/1957,2a dose ou unica,1
1/21/1958,2a dose ou unica,1
3/14/1958,1a dose,1
12/28/1958,2a dose ou unica,1
5/1/1959,1a dose,1
8/19/1959,1o reforco,1
11/20/1961,2a dose ou unica,1
2/14/1962,1a dose,1
6/20/1962,1a dose,1
7/7/1962,2a dose ou unica,1
8/31/1962,1a dose,1
10/24/1963,1a dose,1
1/23/1964,2a dose ou unica,1
4/9/1965,2a dose ou unica,1
6/15/1965,1a dose,1
7/6/1965,2a dose ou unica,1
4/15/1966,1a dose,1
5/26/1967,1a dose,1
6/25/1967,1a dose,1
7/7/1967,2a dose ou unica,1
8/20/1967,1a dose,1
10/18/1967,1a dose,1
8/30/1968,2a dose ou unica,1
7/6/1972,1a dose,1
9/19/1972,2a dose ou unica,1
10/27/1972,2a dose ou unica,1
7/2/1973,1a dose,1
12/27/1974,2a dose ou unica,1
8/27/1975,2a dose ou unica,1
8/29/1975,1a dose,1
9/29/1975,2a dose ou unica,1
2/12/1976,1a dose,1
5/14/1976,1a dose,1
7/14/1976,1a dose,1
11/20/1976,1a dose,1
5/8/1977,1a dose,1
7/12/1977,1a dose,1
7/21/1977,1a dose,1
8/8/1977,1a dose,1
1/22/1978,1a dose,1
1/1/1979,1a dose,1
1/19/1980,2a dose ou unica,1
4/28/1980,1a dose,1
7/10/1981,2a dose ou unica,1
7/13/1981,1a dose,1
9/22/1981,2a dose ou unica,1
11/2/1981,2a dose ou unica,1
1/15/1982,1a dose,1
1/25/1982,1a dose,1
6/22/1983,1a dose,1
7/20/1983,2a dose ou unica,1
7/24/1983,1a dose,1
9/19/1984,1a dose,1
9/25/1985,1a dose,1
2/19/1986,2a dose ou unica,1
5/26/1986,1a dose,1
6/15/1986,1a dose,1
7/31/1986,2a dose ou unica,1
11/24/1986,2a dose ou unica,1
1/15/1987,1a dose,1
3/23/1987,1a dose,1
5/27/1987,1a dose,1
7/12/1987,1a dose,1
7/12/1987,2a dose ou unica,1
11/19/1987,1o reforco,1
4/29/1988,1a dose,1
8/15/1988,1a dose,1
8/25/1988,1a dose,1
1/20/1989,1a dose,1
1/22/1989,1a dose,1
2/16/1989,1a dose,1
5/30/1989,1a dose,1
1/4/1990,1a dose,1
2/3/1990,1a dose,1
5/4/1990,1a dose,1
7/30/1990,1o reforco,1
12/27/1990,1a dose,2
4/9/1991,1a dose,1
4/16/1991,2a dose ou unica,1
4/24/1991,1a dose,1
5/10/1991,2a dose ou unica,1
8/14/1991,2a dose ou unica,1
8/21/1992,1a dose,1
8/23/1992,1a dose,1
8/24/1992,1a dose,1
11/8/1993,1a dose,1
12/29/1993,1a dose,1
2/1/1994,1a dose,1
8/28/1994,1a dose,1
9/25/1994,1a dose,1
10/4/1994,2a dose ou unica,1
5/23/1995,2a dose ou unica,1
7/14/1995,1a dose,1
8/10/1995,1a dose,1
10/23/1996,1a dose,1
7/4/1997,2a dose ou unica,1
9/26/1997,1a dose,1
12/8/1997,1a dose,1
12/18/1997,1o reforco,1
3/19/1998,1a dose,1
6/26/1998,1a dose,1
8/26/1998,1a dose,1
2/17/1999,2a dose ou unica,1
2/20/1999,2a dose ou unica,1
8/26/1999,1a dose,1
6/19/2000,2a dose ou unica,1
8/23/2000,1a dose,1
10/25/2000,1a dose,1
12/10/2000,1a dose,1
5/5/2001,1a dose,1
5/24/2001,2a dose ou unica,1
6/11/2001,1a dose,1
7/13/2001,1a dose,2
8/6/2001,2a dose ou unica,1
8/26/2001,1a dose,1
8/29/2001,1a dose,1
8/31/2001,1a dose,1
9/2/2001,2a dose ou unica,1
9/3/2001,2a dose ou unica,1
9/18/2001,2a dose ou unica,1
9/28/2001,2a dose ou unica,1
9/29/2001,1o reforco,1
11/4/2001,2a dose ou unica,1
1/5/2002,1o reforco,1
2/8/2002,1a dose,1
3/6/2002,1a dose,1
3/22/2002,2a dose ou unica,1
4/21/2002,1a dose,1
5/21/2002,2a dose ou unica,1
6/3/2002,1a dose,1
6/11/2002,1a dose,1
6/28/2002,2a dose ou unica,1
7/5/2002,1a dose,1
7/14/2002,1a dose,2
7/19/2002,1a dose,1
7/30/2002,1a dose,1
8/13/2002,1a dose,1
8/18/2002,1a dose,1
8/20/2002,2a dose ou unica,1
9/3/2002,2a dose ou unica,1
9/18/2002,1a dose,1
9/18/2002,2a dose ou unica,1
9/21/2002,2a dose ou unica,1
9/28/2002,2a dose ou unica,1
4/24/2003,1a dose,1
9/2/2003,2a dose ou unica,1
9/3/2003,1a dose,1
9/25/2003,2a dose ou unica,1
11/24/2004,1o reforco,1
1/19/2005,1a dose,1
7/28/2005,1a dose,1
4/11/2006,1a dose,1
3/11/2007,1a dose,1
5/4/2007,1a dose,1
5/20/2007,1a dose,1
8/4/2007,2a dose ou unica,1
9/22/2007,1a dose,1
1/22/2009,2a dose ou unica,1
7/6/2009,1a dose,1
9/5/2009,2a dose ou unica,1
9/18/2009,2a dose ou unica,3
9/22/2009,2a dose ou unica,15
10/2/2009,1a dose,1
10/2/2009,2a dose ou unica,29
10/9/2009,1a dose,2
11/27/2009,1a dose,12
12/13/2009,2a dose ou unica,2
9/8/2010,2a dose ou unica,1
10/9/2010,1a dose,1
10/25/2010,2a dose ou unica,1
10/27/2010,1o reforco,1
10/27/2010,2a dose ou unica,1
11/8/2010,2a dose ou unica,1
4/7/2011,1a dose,1
4/16/2011,2a dose ou unica,1
4/17/2011,1a dose,1
5/11/2011,1a dose,1
5/25/2011,2a dose ou unica,1
7/4/2011,1a dose,1
7/6/2011,1a dose,1
7/16/2011,2a dose ou unica,1
7/26/2011,2a dose ou unica,1
7/27/2011,2a dose ou unica,1
8/14/2011,1a dose,1
8/25/2011,1a dose,1
8/26/2011,1a dose,1
8/30/2011,1a dose,22
10/15/2011,1o reforco,1
10/29/2011,2a dose ou unica,1
11/5/2011,1o reforco,1
11/17/2011,1o reforco,1
