dt_sint,SEM_PRI,n_cases,n_icu,n_icu_na,n_deaths,n_deaths_na,porc_uti,porc_deaths
1/3/2021,1,28,9,3,2,3,36,8
1/4/2021,1,23,7,1,2,3,31.81818182,10
1/5/2021,1,34,11,3,3,4,35.48387097,10
1/6/2021,1,23,2,3,1,1,10,4.545454545
1/7/2021,1,25,4,6,3,1,21.05263158,12.5
1/8/2021,1,28,9,1,4,0,33.33333333,14.28571429
1/9/2021,1,31,10,5,5,1,38.46153846,16.66666667
1/10/2021,2,35,9,7,2,4,32.14285714,6.451612903
1/11/2021,2,21,4,3,4,1,22.22222222,20
1/12/2021,2,24,3,2,0,7,13.63636364,0
1/13/2021,2,23,3,5,2,3,16.66666667,10
1/14/2021,2,17,9,0,2,1,52.94117647,12.5
1/15/2021,2,27,8,1,3,0,30.76923077,11.11111111
1/16/2021,2,21,3,3,1,3,16.66666667,5.555555556
1/17/2021,3,18,4,2,0,1,25,0
1/18/2021,3,26,5,4,3,1,22.72727273,12
1/19/2021,3,10,4,1,2,0,44.44444444,20
1/20/2021,3,28,3,4,2,3,12.5,8
1/21/2021,3,18,3,2,2,2,18.75,12.5
1/22/2021,3,32,11,0,5,3,34.375,17.24137931
1/23/2021,3,14,2,2,1,1,16.66666667,7.692307692
1/24/2021,4,25,3,8,0,4,17.64705882,0
1/25/2021,4,32,11,5,6,3,40.74074074,20.68965517
1/26/2021,4,24,4,4,1,4,20,5
1/27/2021,4,26,7,4,7,1,31.81818182,28
1/28/2021,4,29,8,3,4,2,30.76923077,14.81481481
1/29/2021,4,16,8,1,0,2,53.33333333,0
1/30/2021,4,23,10,0,4,1,43.47826087,18.18181818
1/31/2021,5,17,5,1,1,0,31.25,5.882352941
2/1/2021,5,31,6,3,4,6,21.42857143,16
2/2/2021,5,28,9,2,2,1,34.61538462,7.407407407
2/3/2021,5,25,12,1,1,1,50,4.166666667
2/4/2021,5,24,8,3,3,2,38.0952381,13.63636364
2/5/2021,5,40,10,2,5,5,26.31578947,14.28571429
2/6/2021,5,24,12,2,5,1,54.54545455,21.73913043
2/7/2021,6,19,9,2,3,2,52.94117647,17.64705882
2/8/2021,6,33,6,2,0,4,19.35483871,0
2/9/2021,6,29,8,4,3,4,32,12
2/10/2021,6,35,11,2,6,3,33.33333333,18.75
2/11/2021,6,33,11,2,6,5,35.48387097,21.42857143
2/12/2021,6,44,16,3,8,7,39.02439024,21.62162162
2/13/2021,6,31,12,3,2,3,42.85714286,7.142857143
2/14/2021,7,45,9,3,5,2,21.42857143,11.62790698
2/15/2021,7,38,13,4,4,4,38.23529412,11.76470588
2/16/2021,7,51,13,6,7,6,28.88888889,15.55555556
2/17/2021,7,33,11,4,3,5,37.93103448,10.71428571
2/18/2021,7,59,15,9,6,8,30,11.76470588
2/19/2021,7,39,14,3,8,6,38.88888889,24.24242424
2/20/2021,7,54,12,5,10,8,24.48979592,21.73913043
2/21/2021,8,49,19,3,6,7,41.30434783,14.28571429
2/22/2021,8,69,28,4,9,4,43.07692308,13.84615385
2/23/2021,8,59,17,2,6,5,29.8245614,11.11111111
2/24/2021,8,46,17,2,13,0,38.63636364,28.26086957
2/25/2021,8,61,20,1,6,7,33.33333333,11.11111111
2/26/2021,8,58,19,2,4,2,33.92857143,7.142857143
2/27/2021,8,62,26,5,11,6,45.61403509,19.64285714
2/28/2021,9,62,24,4,12,3,41.37931034,20.33898305
3/1/2021,9,128,44,12,21,13,37.93103448,18.26086957
3/2/2021,9,78,24,10,7,8,35.29411765,10
3/3/2021,9,77,27,9,11,7,39.70588235,15.71428571
3/4/2021,9,63,17,6,7,9,29.8245614,12.96296296
3/5/2021,9,77,28,4,10,7,38.35616438,14.28571429
3/6/2021,9,87,25,13,12,6,33.78378378,14.81481481
3/7/2021,10,69,20,8,10,6,32.78688525,15.87301587
3/8/2021,10,84,27,6,12,5,34.61538462,15.18987342
3/9/2021,10,81,21,11,10,9,30,13.88888889
3/10/2021,10,93,25,4,20,7,28.08988764,23.25581395
3/11/2021,10,86,24,5,16,7,29.62962963,20.25316456
3/12/2021,10,80,20,7,13,10,27.39726027,18.57142857
3/13/2021,10,59,23,6,12,3,43.39622642,21.42857143
3/14/2021,11,78,28,8,9,8,40,12.85714286
3/15/2021,11,96,30,9,13,8,34.48275862,14.77272727
3/16/2021,11,99,29,8,14,12,31.86813187,16.09195402
3/17/2021,11,84,31,6,13,6,39.74358974,16.66666667
3/18/2021,11,100,36,12,24,13,40.90909091,27.5862069
3/19/2021,11,84,22,8,12,3,28.94736842,14.81481481
3/20/2021,11,103,34,6,18,9,35.05154639,19.14893617
3/21/2021,12,63,22,8,9,4,40,15.25423729
3/22/2021,12,78,18,7,9,11,25.35211268,13.43283582
3/23/2021,12,79,28,7,7,7,38.88888889,9.722222222
3/24/2021,12,60,22,9,9,2,43.1372549,15.51724138
3/25/2021,12,82,30,6,13,7,39.47368421,17.33333333
3/26/2021,12,71,18,6,12,3,27.69230769,17.64705882
3/27/2021,12,53,23,2,10,0,45.09803922,18.86792453
3/28/2021,13,64,17,11,10,4,32.0754717,16.66666667
3/29/2021,13,45,17,1,9,5,38.63636364,22.5
3/30/2021,13,69,19,4,13,8,29.23076923,21.31147541
3/31/2021,13,59,20,5,4,3,37.03703704,7.142857143
4/1/2021,13,85,30,9,14,10,39.47368421,18.66666667
4/2/2021,13,62,20,7,13,4,36.36363636,22.4137931
4/3/2021,13,49,19,11,14,7,50,33.33333333
4/4/2021,14,65,27,4,9,6,44.26229508,15.25423729
4/5/2021,14,72,21,8,6,11,32.8125,9.836065574
4/6/2021,14,69,19,6,12,7,30.15873016,19.35483871
4/7/2021,14,46,21,2,5,2,47.72727273,11.36363636
4/8/2021,14,55,16,6,10,5,32.65306122,20
4/9/2021,14,68,28,8,9,4,46.66666667,14.0625
4/10/2021,14,83,23,9,10,9,31.08108108,13.51351351
4/11/2021,15,57,25,5,7,2,48.07692308,12.72727273
4/12/2021,15,49,14,7,6,3,33.33333333,13.04347826
4/13/2021,15,51,21,2,7,3,42.85714286,14.58333333
4/14/2021,15,50,14,5,3,7,31.11111111,6.976744186
4/15/2021,15,66,20,5,15,7,32.78688525,25.42372881
4/16/2021,15,47,21,1,7,6,45.65217391,17.07317073
4/17/2021,15,41,12,5,5,5,33.33333333,13.88888889
4/18/2021,16,52,15,7,8,4,33.33333333,16.66666667
4/19/2021,16,49,13,7,5,6,30.95238095,11.62790698
4/20/2021,16,77,26,12,12,9,40,17.64705882
4/21/2021,16,42,15,5,6,3,40.54054054,15.38461538
4/22/2021,16,43,15,5,6,3,39.47368421,15
4/23/2021,16,58,20,7,8,6,39.21568627,15.38461538
4/24/2021,16,54,20,3,7,8,39.21568627,15.2173913
4/25/2021,17,60,20,7,10,10,37.73584906,20
4/26/2021,17,63,22,5,9,6,37.93103448,15.78947368
4/27/2021,17,67,23,6,11,8,37.70491803,18.6440678
4/28/2021,17,52,20,5,9,5,42.55319149,19.14893617
4/29/2021,17,44,12,1,7,5,27.90697674,17.94871795
4/30/2021,17,62,17,4,11,5,29.31034483,19.29824561
5/1/2021,17,80,30,4,7,12,39.47368421,10.29411765
5/2/2021,18,59,19,5,10,6,35.18518519,18.86792453
5/3/2021,18,61,19,4,6,5,33.33333333,10.71428571
5/4/2021,18,66,21,4,13,6,33.87096774,21.66666667
5/5/2021,18,55,20,4,11,3,39.21568627,21.15384615
5/6/2021,18,64,14,3,3,10,22.95081967,5.555555556
5/7/2021,18,67,24,5,6,12,38.70967742,10.90909091
5/8/2021,18,68,19,2,8,6,28.78787879,12.90322581
5/9/2021,19,65,15,4,5,8,24.59016393,8.771929825
5/10/2021,19,120,48,17,18,14,46.60194175,16.98113208
5/11/2021,19,66,25,6,9,7,41.66666667,15.25423729
5/12/2021,19,65,21,3,9,8,33.87096774,15.78947368
5/13/2021,19,80,32,7,14,9,43.83561644,19.71830986
5/14/2021,19,74,26,1,8,4,35.61643836,11.42857143
5/15/2021,19,93,32,4,11,8,35.95505618,12.94117647
5/16/2021,20,57,14,4,9,5,26.41509434,17.30769231
5/17/2021,20,75,36,3,14,8,50,20.89552239
5/18/2021,20,81,34,8,9,7,46.57534247,12.16216216
5/19/2021,20,69,24,10,5,4,40.6779661,7.692307692
5/20/2021,20,99,33,5,9,12,35.10638298,10.34482759
5/21/2021,20,65,22,10,12,5,40,20
5/22/2021,20,62,14,4,6,2,24.13793103,10
5/23/2021,21,74,27,4,10,13,38.57142857,16.39344262
5/24/2021,21,90,23,13,14,11,29.87012987,17.72151899
5/25/2021,21,87,32,12,12,7,42.66666667,15
5/26/2021,21,72,21,3,8,3,30.43478261,11.5942029
5/27/2021,21,66,20,7,6,11,33.89830508,10.90909091
